



















































































































docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
Evolutionarily-Curated Curriculum Learning,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,43.86748799999998,9.04951786994934,-1,2,4
Expected Value of,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,9.576136399999967,27.836071968078613,-1,2,4
Explainable Failure Predictions,greedy-atOnce,2,1,False,26.899199999999723,0.0,26.899199999999723,2.5353303999999923,47.099151372909546,-1,1,2
Explaining Reward Functions,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,18.682151599999997,17.259762048721313,-1,2,4
Exploiting Cross-Lingual Subword,greedy-atOnce,2,1,True,26.899200000000064,0.0,26.899200000000064,10.0,419.60085225105286,-1,2,4
Exploiting Language Models,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.261236400000001,19.49500823020935,-1,2,4
Exploiting Multiple Abstractions,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,14.25974282499999,23.714948415756226,-1,2,4
Exploring Gameplay With,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,12.228515199999947,10.291287183761597,-1,2,4
Exploring the Efficacy,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.282257600000008,18.99548864364624,-1,2,4
Fair Conformal Predictors,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,20.0,26.947184324264526,-1,2,4
Fast and Knowledge-Free,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,12.553515199999993,17.589085578918457,-1,1,2
Few-Shot Learning for,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,13.132669050000004,20.812793970108032,-1,2,4
Finding All Bayesian,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,21.370464800000093,34.291907787323,-1,2,4
Fine-Grained Car Detection,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,16.515894000000046,18.1174795627594,-1,2,4
Fine-grained Retrieval Prompt,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,9.637386399999997,17.872575521469116,-1,2,4
Fixation Maximization in,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,11.12195760000003,20.9133358001709,-1,2,4
