docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
Hierarchical Average Reward,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,10.973136400000001,10.287453174591064,-1,0
Human Capabilities as,greedy-separate,2,1,False,29.887800000000198,61.76820000000032,-31.880400000000122,5.387257599999998,6.370347261428833,-1,0
Human in the,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,13.955143999999962,10.009715795516968,-1,0
Humans_ Assessment of,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,8.2646364,7.248772859573364,-1,0
Hyperbolic Graph Diffusion,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.859799999999979,8.643887281417847,-1,0
Identification of Abnormal,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,9.05297880000002,11.3369140625,-1,0
Identifying Unsafe Videos,greedy-separate,2,1,True,29.887800000000198,1036.4777724000003,-1006.5899724000001,7.573257599999977,7.672746896743774,-1,1
Improving Model Robustness,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,21.7384955,12.135996103286743,-1,0
Improving Multi-Document Summarization,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.560986399999962,8.605400085449219,-1,0
Improving Neural Question,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,17.310579200000063,9.860651016235352,-1,0
Improving Pareto Front,greedy-separate,2,1,True,29.887800000000198,814.5546569192927,-784.6668569192925,16.249751848894704,23.107125759124756,-1,1
Improving Training and,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,2.743995075000001,14.89888072013855,-1,0
Information Retention in,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,16.8682728,11.63541579246521,-1,0
Integrated In-vehicle Monitoring,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,20.95808640000004,9.23569369316101,-1,0
Intelligent Frame Selection,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,13.326107599999972,10.30650281906128,-1,0
Interpretable Local Tree,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.190747750000014,11.551145792007446,-1,0
Interpretable NLG for,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.76412879999998,9.577684164047241,-1,0
Interpretable Rumor Detection,greedy-separate,2,1,False,26.899199999999723,229.13980000000123,-202.2406000000015,22.00619999999998,10.909523248672485,-1,0
Investigating the Effects,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,8.84613639999995,10.268224954605103,-1,0
Joint Word Representation,greedy-separate,2,1,True,29.887800000000198,1142.3175439999986,-1112.4297439999984,11.648257599999994,5.950163841247559,-1,1
Journey to the,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.444032499999963,13.709771156311035,-1,0
Keyword-Guided Neural Conversational,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,18.937505349999924,11.416816234588623,-1,0
Knowledge-driven Natural Language,greedy-separate,2,1,False,59.77559999999971,59.77559999999971,0.0,7.870443664000021,12.89990520477295,-1,0
Knowledge-incorporating ESIM models,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,24.85403039999983,10.110542058944702,-1,0
Labeled Memory Networks,greedy-separate,2,1,True,29.887800000000198,1284.279191000002,-1254.3913910000017,15.003321599999936,11.644606590270996,-1,1
Language Models are,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,13.922257600000009,12.727554082870483,-1,0
Learning 2D Temporal,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.51133025,13.053759574890137,-1,0
Learning a Wavelet-like,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,20.93248030000001,8.13268780708313,-1,0
Learning Binary Residual,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.986515199999985,7.447384595870972,-1,0
Learning Invariant Representation,greedy-separate,2,1,False,59.775600000000395,149.439000000001,-89.66340000000059,42.40816075906247,12.942487239837646,-1,0
Learning Logistic Circuits,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,20.23477280000003,16.02886390686035,-1,0
